product_url,item_type,image_link,auction_date,location,product_name,lot_id,auctioner,website,description
https://auctionresource.com/auctions/11928/r1-upper-midwest-const--truck-unreserved-auction/3477621/unused-closed-weldable-quick-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-26%2Ff8e53b55-2ecd-4581-bccd-8f52e267836a.jpg?preset=740x555,"October 4, 2022 9:00 AM","
                            Glencoe, MN 55336, USA
                        ",(UNUSED) CLOSED WELDABLE QUICK PLATE,276482,Jeff Martin Auctioneers Inc.,auctionresource,"PLATE IS ONLY TACK WELDED, SKID STEER ATTACHMENT"
https://auctionresource.com/auctions/14122/construction-equip--supplies-liquidation-auction/3484595/pipe-cutters,pipe,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-27%2F48800913-3a31-4ece-9d2c-167a2c641587.jpg?preset=740x555,"October 17, 2022 10:00 AM","
                            Yukon, OK, USA
                        ",Pipe Cutters,2680,Ken Carpenter Auction & Realty LLC,auctionresource,Pipe Cutters
https://auctionresource.com/auctions/13491/oct-19-2022---equipment-auction/3373686/curt-pickup-5th-wheel-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-26%2F7b42794f-4793-413f-9725-81b7b6f67cf3.jpg?preset=740x555,"October 19, 2022 10:00 AM","
                            213 Beaver St, St Edward, NE 68660, USA
                        ",Curt Pickup 5th Wheel Plate,HK4787,BigIron Auctions,auctionresource,"Curt Pickup 5th Wheel Plate, 30,000lb Max Weight, 2 5/16” Ball, 42” Outside Frame Width, 47” Overall Width (see Pictures)"
https://auctionresource.com/auctions/13756/september-online-farm-consignment/3429482/skidsteer-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-30%2F28d8e555-f4eb-4d9b-9b24-b076bc8b7852.jpg?preset=740x555,"September 29, 2022 9:00 AM","
                            WI-33 & WI-23, Reedsburg, WI 53959, USA
                        ",Skidsteer plate,423,Gavin Bros. Auctioneers | Real Estate,auctionresource,
https://auctionresource.com/auctions/13215/october-1st-consignment-auction/3503636/8-x-8-14--plate-steel,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-29%2Fc432738a-7452-4421-a631-01a71b158757.jpg?preset=740x555,"October 1, 2022 12:00 AM","
                            Wichita Falls, TX, USA
                        ",8? x 8? 1/4 ? plate steel,512,Gee Auctions,auctionresource,8? x 8? 1/4 ? plate steel
https://auctionresource.com/auctions/13106/online-consignment-auction/3350576/ebrand-new-closed-weldable-quick-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-28%2Faa16fb69-4c8c-44fc-9231-2092e4b3b85e.jpg?preset=740x555,"September 30, 2022 8:00 AM","
                            4029 OH-14, Rootstown, OH 44272, USA
                        ",E.BRAND NEW CLOSED WELDABLE QUICK PLATE,2616,Edinburg Auction Sales Inc,auctionresource,
https://auctionresource.com/auctions/13149/d1r3-fall-public-const--trans-auction/3195689/landhonor-vibratory-plate-compactor-72-inches,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-20%2Fcf5e3719-66bd-4bc0-903c-d582a52a7423.jpg?preset=740x555,"November 11, 2022 10:30 AM","
                            Brooklyn, MS 39425, USA
                        ",LANDHONOR VIBRATORY PLATE COMPACTOR 72 INCHES,305830,Jeff Martin Auctioneers Inc.,auctionresource,UNUSED
https://auctionresource.com/auctions/13824/monthly-public-auction/3505600/mower-king-skid-steer-mounting-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-29%2F3f133281-8f7d-4a66-8d3f-fcd6e73ca72e.jpg?preset=740x555,"October 21, 2022 8:30 AM","
                            OR-99E, Woodburn, OR, USA
                        ",Mower King Skid Steer Mounting Plate,6213,Bar None Auction,auctionresource,"S/N-SSMP22042505
Unused,"
https://auctionresource.com/auctions/13454/huge-pre-harvest-farm--heavy-equipment-auction/3505446/unused-skid-steer-open-weldable-quick-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-29%2F4d47e423-5790-4e0f-a60c-1d89e9baecb4.jpg?preset=740x555,"October 20, 2022 10:00 AM","
                            2408 US-64, Wynne, AR 72396, USA
                        ",Unused Skid Steer Open Weldable Quick Plate,1136,Witcher Auctions LLC,auctionresource,
https://auctionresource.com/auctions/14081/fall-3-day-absolute-auction---ring-1/3476088/skid-steer-weld-on-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-27%2F52b070ca-cb30-4cfd-87aa-948d3c03c2e6.jpg?preset=740x555,"September 29, 2022 9:00 AM","
                            1715 Garden Village Dr, White Pine, TN 37890, USA
                        ",SKID STEER WELD ON PLATE,1065,ProTEAM Auction,auctionresource,TAG#21639
https://auctionresource.com/auctions/14081/fall-3-day-absolute-auction---ring-1/3476138/skid-steer-weld-on-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-27%2Fa96da529-40e2-49bf-8b9a-ee42c4e1b8c4.jpg?preset=740x555,"September 29, 2022 9:00 AM","
                            1715 Garden Village Dr, White Pine, TN 37890, USA
                        ",SKID STEER WELD ON PLATE,1112,ProTEAM Auction,auctionresource,TAG#21777
https://auctionresource.com/auctions/12873/farm-equipment-auction-ring-2/3490952/unused-mower-king-adaptor-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-29%2Fc917f679-4574-4e48-a51e-fb23433fbc8a.jpg?preset=740x555,"October 8, 2022 8:30 AM","
                            North, SC 29112, USA
                        ",UNUSED MOWER KING ADAPTOR PLATE,66805,Dukes Auction Group LLC,auctionresource,
https://auctionresource.com/auctions/12873/farm-equipment-auction-ring-2/3491038/unused-mower-king-adaptor-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-29%2F73ddc94d-6d7f-49d0-98b5-e9edf3a65c00.jpg?preset=740x555,"October 8, 2022 8:30 AM","
                            North, SC 29112, USA
                        ",UNUSED MOWER KING ADAPTOR PLATE,67065,Dukes Auction Group LLC,auctionresource,
https://auctionresource.com/auctions/11801/public-equipment-auction---day-1/3205760/blank-quick-tach-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-25%2F20e3126d-79e7-41de-88e3-01bebacfe5ff.jpg?preset=740x555,"September 30, 2022 8:00 AM","
                            Windsor Locks, CT, USA
                        ",Blank Quick Tach Plate,119930,Sales Auction Company LLC,auctionresource,"Fits skid steer, NEW AND UNUSED"
https://auctionresource.com/auctions/11801/public-equipment-auction---day-1/3205759/blank-quick-tach-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-25%2F0cbc5bef-edb4-45e7-809a-e8a618896de8.jpg?preset=740x555,"September 30, 2022 8:00 AM","
                            Windsor Locks, CT, USA
                        ",Blank Quick Tach Plate,119929,Sales Auction Company LLC,auctionresource,"Fits skid steer, NEW AND UNUSED"
https://auctionresource.com/auctions/13291/oct-12-2022---equipment-auction/3352315/2022-skid-steer-receiver-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-23%2Fd55c7e9c-72b2-4303-aa70-a8a02d2b7f32.jpg?preset=740x555,"October 12, 2022 10:00 AM","
                            213 Beaver St, St Edward, NE 68660, USA
                        ",2022 Skid Steer Receiver Plate,HJ6394,BigIron Auctions,auctionresource,"2022 Skid Steer Receiver Plate, Unused, Universal Skid Steer Mounts, 45"" X 18.5"", 1/4"" Thick Steel, 2"" Receiver Hitch Bracket"
https://auctionresource.com/auctions/11801/public-equipment-auction---day-1/2804421/blank-quick-tach-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-25%2F460ed4aa-9cf3-42a1-945b-5571eb2de3e6.jpg?preset=740x555,"September 30, 2022 8:00 AM","
                            Windsor Locks, CT, USA
                        ",Blank Quick Tach Plate,119210,Sales Auction Company LLC,auctionresource,"Fits skid steer, NEW AND UNUSED"
https://auctionresource.com/auctions/13299/knt-fabrication-shop-liquidation-sale/3478087/steel-rack-for-plate-steel,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-26%2F7ca3eb30-c6dc-41d8-ac9d-19a39d1d8de4.jpg?preset=740x555,"September 30, 2022 11:00 AM","
                            Suring, WI, USA
                        ",STEEL RACK FOR PLATE STEEL,60,Yoap & Yoap Auction & Real Estate,auctionresource,"Steel Rack for Plate Steel 84"" deep x 78"" wide x 136"" high. NOTE: Hauling is available in 48 states. For Arrangements, please call Jerry Styczynski at 920-373-4035"
https://auctionresource.com/auctions/13299/knt-fabrication-shop-liquidation-sale/3478134/koike-aronson-plate-pro-plasma-table,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-26%2Fe4ca1d68-c708-42ac-8ab4-e24f48feef75.jpg?preset=740x555,"September 30, 2022 11:00 AM","
                            Suring, WI, USA
                        ",KOIKE ARONSON PLATE-PRO PLASMA TABLE,74,Yoap & Yoap Auction & Real Estate,auctionresource,"Koike-Aronson CNC Plate-Pro 8x20ft plasma table w/ downdraft, plasma & oxy-fuel cut, Hypertherm HSD130, Heat Sink, 5HP air compressor & New York Blower. NOTE: Hauling is available in 48 states. For Arrangements, please call Jerry Styczynski at 920-373-4035

[KOIKE ARONSON PLATE-PRO PLASMA TABLE]"
https://auctionresource.com/auctions/13756/september-online-farm-consignment/3429864/steel-diamand-plate,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-30%2F04d938f9-8f1f-4a1c-88e1-d1130b4ccb3b.jpg?preset=740x555,"September 29, 2022 9:00 AM","
                            WI-33 & WI-23, Reedsburg, WI 53959, USA
                        ",Steel Diamand Plate,1030,Gavin Bros. Auctioneers | Real Estate,auctionresource,2x2.5'
https://auctionresource.com/auctions/13958/swensons-auction-barn-october-online-auction/3451361/southwestern-decor,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-24%2F8fdd6473-f43b-46a1-ab59-3bb8bdeb1f08.jpg?preset=740x555,"October 12, 2022 12:00 AM","
                            Powell, WY 82435, USA
                        ",Southwestern Decor,1916,Swenson's Auctions,auctionresource,"- Figurine
- Painted Stone- Linda Jolley Signed
- Hand Made Plate- Signed"
https://auctionresource.com/auctions/13937/weekly-online-only-equipment-auction/3496396/2021-mower-king-ssmp,plate,https://auctionresource.azureedge.net/blob/images/auction-images%2F2022-09-28%2Fe2889762-fca8-4968-bee5-94a2e7778cc7.jpg?preset=740x555,"October 4, 2022 11:00 AM","
                            United States
                        ",2021 Mower King SSMP,uction Alerts:,bidadoo - Online Auctions,auctionresource,
